"gene","avg_log2FC","p_val_adj"
"SLC35F1",2.80775700913862,2.49236082852221e-26
"MGAT4C",2.79365874294026,1.58867406922617e-23
"CTNND2",2.78954935786885,1.23640688348935e-84
"GRIK1",2.7859885483816,3.90324361882823e-32
"ATRNL1",2.78597396253787,1.57744046023888e-70
"TAFA1",2.78547588411544,1.26197521489118e-33
"SLC4A10",2.77991599825568,3.72026545913852e-39
"LRRC7",2.77449637625219,5.43490008950392e-63
"CALN1",2.77359192421206,1.4091165608236e-24
"SYT14",2.76984826688299,2.55091657870288e-18
"GALNT17",2.76644261449806,1.30877364175006e-34
"ADGRL3",2.7634659557698,1.62794090950243e-89
"BASP1-AS1",2.76293270755633,1.0699673048957e-17
"CNKSR2",2.7538012180379,1.62334554873665e-30
"ENSG00000288902",2.74539788165695,4.64723207512358e-21
"GPC5",2.73341003225227,1.3239922422056e-26
"LINC00882",2.72767888026508,3.75169702979697e-23
"NLGN4X",2.72268085356704,1.32213586233203e-16
"JAKMIP2",2.72169675659249,5.17944833798877e-29
"NTRK2",2.70398941385582,4.43615891383744e-58
"PPM1E",2.7003466261355,2.02558262343612e-18
"SGCD",2.69917111160527,7.80503008431378e-27
"RUNX1T1",2.69848093385257,2.10629330826368e-18
"PAK3",2.67736234993628,2.81704562078417e-26
"RBFOX3",2.66870268914344,2.79562078410999e-28
"MIR9-2HG",2.6635222837746,4.66658144724288e-17
"GPR158",2.65517934980026,4.19658284742132e-14
"ENSG00000228566",2.64216741899309,2.69515875601389e-13
"LHFPL3",2.64019550912533,7.98294337976353e-13
"GUCY1A2",2.63584202629735,1.84580755290062e-24
"SCN3A",2.63507723722042,9.9571625437003e-16
"AMPH",2.63095542824557,5.05910317604104e-20
"MAST4",2.62969007886559,2.16038082167874e-23
"PRKD1",2.62733269428701,2.18399818925938e-15
"ENSG00000242593",2.62345407508315,8.72962752595374e-19
"CACNB2",2.62108618836687,7.92440473785819e-39
"ARNT2",2.61532772316736,2.73093535596284e-21
"PPFIA2",2.60607403387739,4.35086745182359e-45
"MYRIP",2.60076542584911,4.85900867083018e-20
"SGIP1",2.59457392222935,6.26661759608944e-34
"CNTN1",2.59312990134316,1.86271792182824e-56
"PRICKLE2",2.59175974837168,7.10327671875963e-19
"SYN2",2.590496213119,1.15453017947991e-25
