,celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
120,Inhib,12254,15060,HERVIP10F-int,1.80E-14,-0.066392344,0.273,0.252,1.08E-12
121,Inhib,12254,15060,Harlequin-int,2.20E-14,0.177434446,0.522,0.488,1.32E-12
122,Inhib,12254,15060,HERVP71A-int,2.29E-14,-0.047704943,0.118,0.099,1.38E-12
123,Inhib,12254,15060,HERVIP10FH-int,3.52E-14,0.108948687,0.229,0.198,2.11E-12
124,Inhib,12254,15060,HERVK-int,1.00E-13,-0.071648024,0.285,0.265,6.01E-12
125,Inhib,12254,15060,MER4B-int,7.41E-13,-0.098008643,0.308,0.29,4.44E-11
126,Inhib,12254,15060,HERVL-int,9.09E-13,0.114195529,0.324,0.286,5.45E-11
127,Inhib,12254,15060,HERVK14-int,9.95E-12,-0.444468485,0.093,0.102,5.97E-10
128,Inhib,12254,15060,HERVK13-int,5.58E-11,-0.037021677,0.145,0.127,3.35E-09
129,Inhib,12254,15060,HERVE-int,8.67E-11,-0.113525218,0.079,0.065,5.20E-09
130,Inhib,12254,15060,HERV17-int,3.31E-10,-0.016209565,0.168,0.148,1.98E-08
131,Inhib,12254,15060,ERV3-16A3-I-int,2.57E-09,-0.005046179,0.357,0.33,1.54E-07
132,Inhib,12254,15060,PRIMA4-int,3.32E-09,-0.02656506,0.244,0.225,1.99E-07
133,Inhib,12254,15060,ERVL-B4-int,4.87E-09,0.026016939,0.365,0.337,2.92E-07
134,Inhib,12254,15060,HERVS71-int,2.59E-08,0.122010896,0.199,0.173,1.56E-06
135,Inhib,12254,15060,MER41-int,4.21E-08,-0.077666198,0.36,0.349,2.52E-06
136,Inhib,12254,15060,MER34B-int,6.72E-08,-0.045974128,0.104,0.093,4.03E-06
137,Inhib,12254,15060,HERVK3-int,9.57E-08,-0.193312231,0.14,0.138,5.74E-06
138,Inhib,12254,15060,HUERS-P3-int,1.15E-07,0.04312311,0.187,0.169,6.93E-06
139,Inhib,12254,15060,LTR25-int,2.95E-07,0.020577705,0.259,0.239,1.77E-05
140,Inhib,12254,15060,HERVK9-int,6.64E-07,-0.051771424,0.354,0.341,3.98E-05
141,Inhib,12254,15060,PABL-A-int,6.86E-07,0.05628788,0.05,0.039,4.12E-05
142,Inhib,12254,15060,HUERS-P1-int,1.45E-06,0.048989189,0.131,0.117,8.72E-05
143,Inhib,12254,15060,HERVH-int,6.67E-06,-0.05335884,0.366,0.365,0.000399984
144,Inhib,12254,15060,HERVK14C-int,1.01E-05,-0.28875802,0.062,0.06,0.000607238
145,Inhib,12254,15060,ERVL-int,1.16E-05,-0.092007263,0.059,0.051,0.000693237
146,Inhib,12254,15060,HERV9-int,6.47E-05,0.094519282,0.07,0.059,0.003881265
147,Inhib,12254,15060,HERVL74-int,7.35E-05,0.013227078,0.058,0.049,0.004411272
148,Inhib,12254,15060,MER50-int,0.000161939,0.011337461,0.05,0.043,0.009716368
