"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Inhib",12254,15060,"HML6-19q13.43b",0.00166881260039516,-0.190296075121319,0.061,0.062,0.430553650901951
"Inhib",12254,15060,"HERVS71-7p14.3",0.00185975869810984,0.0525102795687968,0.08,0.071,0.47981774411234
"Inhib",12254,15060,"HERVEA-19p13.11",0.00272135193991898,0.26358683429722,0.056,0.048,0.702108800499096
"Inhib",12254,15060,"HERVH-Xq13.2c",0.00955592033710273,0.151477159082994,0.054,0.047,1
"Inhib",12254,15060,"HUERSP3B-Xp11.22",0.0101687344040794,0.0865248956302369,0.053,0.047,1
"Inhib",12254,15060,"HERVIP10FH-Yq11.222b",0.0180753422043047,0.452229390967471,0.056,0.05,1
"Inhib",12254,15060,"LTR25-9p12",0.0458293710402739,-0.13532810354824,0.075,0.073,1
"Inhib",12254,15060,"HERVS71-19q13.12a",0.0554053125114362,0.150103312934878,0.055,0.049,1
"Inhib",12254,15060,"LTR25-9p11.2b",0.125451448759981,-0.197711376127954,0.053,0.053,1
"Inhib",12254,15060,"ERVLE-5q12.3a",0.187302795453059,0.200698841771022,0.058,0.053,1
"Inhib",12254,15060,"HARLEQUIN-5q14.2",0.456925911573086,0.0605001319066099,0.056,0.054,1
"Inhib",12254,15060,"LTR25-9q13b",0.471334667414666,-0.0617401046564412,0.05,0.051,1
"Inhib",12254,15060,"MER61-4p16.3",0.485885498038379,0.0571142472201878,0.084,0.083,1
"Inhib",12254,15060,"HERV4-1q22b",0.612563947429284,0.166558595975011,0.098,0.1,1
"Endo",732,1884,"MER4-22q12.3",0.118055061880573,0.364948635846868,0.063,0.042,1
"Endo",732,1884,"HARLEQUIN-Xq23b",0.227935309378088,0.853649046864311,0.057,0.041,1
"Endo",732,1884,"HARLEQUIN-17q21.31",0.403618355928011,0.467317786813625,0.05,0.038,1
"Endo",732,1884,"HML2-3q12.3",0.817862863133054,0.259495085417007,0.057,0.051,1
"Endo",732,1884,"HERV4-1q22b",0.94123440257212,0.119617444905553,0.072,0.068,1
"Endo",732,1884,"HML4-16p13.3",0.9487840414644,-0.330410796748635,0.051,0.055,1
"Endo",732,1884,"MER4B-7p14.3",0.999600714164319,-0.279075486203003,0.056,0.056,1
"Mic",4346,6060,"HARLEQUIN-6p21.31",4.58021814497589e-10,0.386672428599679,0.191,0.143,1.18169628140378e-07
"Mic",4346,6060,"MER34B-4q31.3",3.81668679619102e-08,0.0633639160770328,0.253,0.218,9.84705193417282e-06
"Mic",4346,6060,"ERVLB4-10q26.2b",9.13464042580982e-07,0.0906287605314944,0.094,0.073,0.000235673722985893
"Mic",4346,6060,"HARLEQUIN-4q32.1",3.63989123841403e-06,-0.533268539593333,0.095,0.118,0.00093909193951082
"Mic",4346,6060,"HERVH-2p14b",5.37758082355709e-06,-0.567719648264281,0.073,0.084,0.00138741585247773
"Mic",4346,6060,"MER4B-7p14.3",0.000851651636143108,-0.10455912223815,0.084,0.072,0.219726122124922
"Mic",4346,6060,"HERVL40-15q21.3",0.0422468670772018,0.25358985941306,0.051,0.041,1
"Mic",4346,6060,"HML4-16p13.3",0.0742624606408519,-0.171814781301774,0.05,0.046,1
