"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mic",4346,6060,"HERVK9-int",1.29040693774446e-05,-0.0921471029755627,0.322,0.306,0.000748436023891785
"Mic",4346,6060,"HERVIP10B3-int",1.63864277382629e-05,0.0714843604346206,0.194,0.166,0.00095041280881925
"Mic",4346,6060,"HERV35I-int",2.41262798521542e-05,0.115299525671462,0.143,0.119,0.00139932423142494
"Mic",4346,6060,"HERVL40-int",2.65384971271115e-05,0.0599368090994084,0.194,0.168,0.00153923283337247
"Mic",4346,6060,"HERV17-int",4.82274487379268e-05,0.00499158758440929,0.195,0.176,0.00279719202679976
"Mic",4346,6060,"HERVK22-int",8.83164260234523e-05,-0.187917206196924,0.118,0.107,0.00512235270936023
"Mic",4346,6060,"HERVS71-int",0.000338591631243828,0.0267461025810283,0.162,0.142,0.019638314612142
"Mic",4346,6060,"ERV24-Prim-int",0.000362743304463645,0.117012156004472,0.063,0.05,0.0210391116588914
"Mic",4346,6060,"HERVFH19-int",0.00199741424745373,0.337066375175873,0.066,0.05,0.115850026352317
"Mic",4346,6060,"ERV24B-Prim-int",0.00409792462463546,0.111996555103083,0.078,0.064,0.237679628228857
"Mic",4346,6060,"HERVH48-int",0.00422671928902097,0.147867786060251,0.112,0.095,0.245149718763216
"Mic",4346,6060,"HERVK3-int",0.00563514491987753,-0.205132338763292,0.087,0.081,0.326838405352897
"Mic",4346,6060,"ERVL-int",0.00595591968370807,-0.168178103985478,0.103,0.099,0.345443341655068
"Mic",4346,6060,"HERVL74-int",0.00937605999343221,0.254500215562694,0.065,0.051,0.543811479619068
"Mic",4346,6060,"HERV9-int",0.0151451218302595,-0.264538559801021,0.112,0.12,0.87841706615505
"Mic",4346,6060,"HERVE-a-int",0.0376370035100193,0.0857648905697515,0.06,0.051,1
"Mic",4346,6060,"HERV16-int",0.0410722654190261,-0.0855021480017726,0.074,0.067,1
"Mic",4346,6060,"ERV3-16A3-LTR",0.0568507495290298,0.1774933781077,0.065,0.055,1
"Mic",4346,6060,"HERV4-I-int",0.0627921448533943,-0.249867701010408,0.08,0.08,1
"Mic",4346,6060,"HERV9NC-int",0.0846743930217766,0.0205049621928299,0.084,0.076,1
"Mic",4346,6060,"HERVK14-int",0.0862655862946458,-0.100794960568346,0.069,0.066,1
"Mic",4346,6060,"HERV9N-int",0.121717472572585,-0.0595217039780733,0.069,0.065,1
