"gene","avg_log2FC","p_val_adj"
"RPL7L1",1.77702052703538,0
"NBL1",1.77623489188402,0
"NDUFB1",1.77554632072497,0
"PPTC7",1.775115316501,0
"LIMK1",1.77478592629004,0
"ATP2B3",1.77469292795506,0
"TMEM160",1.77415964579064,0
"KLC1",1.77406464389899,0
"PDAP1",1.77314277122577,0
"CALR",1.77291804504973,0
"BRK1",1.77268597729035,0
"NUDT21",1.77164333054861,0
"FASN",1.77163151274931,0
"RPL32",1.77070651393367,0
"TUBB4A",1.77042337726921,0
"ARL2BP",1.76966246629873,0
"RPS5",1.76614216924543,0
"YWHAE",1.76534664541258,0
"ANXA6",1.76188903386862,0
"POLR2E",1.76167934469385,0
"ATMIN",1.76082336106828,0
"RPL28",1.76077814719509,0
"FARSA",1.75744227061863,0
"RPL34",1.75709606649616,0
"APLP2",1.75705397434076,0
"FEM1B",1.75641536459561,0
"IGIP",1.7560559833793,0
"PRKAR1A",1.75327875440168,0
"H3-3B",1.75158241962113,0
"DCXR",1.75055969580682,5.06278764500734e-272
"CREG2",1.74897818897968,0
"RASD1",1.74870383739355,0
"EIF5",1.74784974265855,0
"KEAP1",1.7468257884917,1.53895694559242e-250
"AP2M1",1.74619485700963,0
"ENO2",1.74516778576934,0
"NARS1",1.74487187897226,0
"IFIT1",1.74471898572033,0
"PGAP4",1.74364701252272,0
"REEP5",1.7427739078208,0
"PARK7",1.74224743659798,0
"LSM7",1.74213860154629,5.00878214193089e-279
"AHSA1",1.74149507539871,0
"POLR3H",1.74070956419061,2.01298754078939e-253
"G3BP2",1.73931098808874,0
"MAPK3",1.73918638726423,0
"PGM2L1",1.73891378568693,0
"ATP6V0D1",1.73836262775541,0
"NDUFB2",1.73815665164191,0
"RPS16",1.73739273030159,4.94525197275878e-310
"TAGLN3",1.73651446361686,0
"RNF11",1.7341067970897,0
"ARL8A",1.7340688905228,0
"TMX4",1.73365257656168,0
"UBA52",1.73357699257467,0
"RPLP2",1.73295752275018,0
"PCYOX1",1.7323310505021,0
"SMDT1",1.73058571282783,4.93247189958148e-304
"NDUFB10",1.73030267365385,0
"GSTO1",1.72942451355508,0
"KIF5A",1.72831403926233,0
"PSMD2",1.72647805678542,0
"SMIM10L2B",1.72638646930204,3.10606439955327e-311
"CDIPT",1.72596182111202,0
